"Plot Title: Manz office"
"#","Date Time, GMT+02:00","Event, mm (LGR S/N: 20112198, SEN S/N: 20112198, LBL: Rainfall)","Coupler Detached (LGR S/N: 20112198)","Coupler Attached (LGR S/N: 20112198)","Host Connected (LGR S/N: 20112198)","Stopped (LGR S/N: 20112198)","End Of File (LGR S/N: 20112198)"
458,18/12/20 12:37:41 AM,113.792,,,,,
459,18/12/20 12:37:56 AM,114.046,,,,,
460,18/12/20 12:38:12 AM,114.300,,,,,
461,18/12/20 12:38:29 AM,114.554,,,,,
462,18/12/20 12:38:53 AM,114.808,,,,,
463,18/12/20 12:39:13 AM,115.062,,,,,
464,18/12/20 12:39:34 AM,115.316,,,,,
465,18/12/20 12:39:57 AM,115.570,,,,,
466,18/12/20 12:40:35 AM,115.824,,,,,
467,18/12/20 12:43:24 AM,116.078,,,,,
468,18/12/20 12:46:56 AM,116.332,,,,,
469,18/12/20 12:50:16 AM,116.586,,,,,
470,18/12/20 12:52:37 AM,116.840,,,,,
471,18/12/20 12:54:18 AM,117.094,,,,,
472,18/12/20 12:56:39 AM,117.348,,,,,
473,18/12/20 12:59:55 AM,117.602,,,,,
474,18/12/20 01:05:27 AM,117.856,,,,,
475,18/12/20 02:02:19 AM,118.110,,,,,
476,18/12/20 05:37:17 PM,118.364,,,,,
477,18/12/20 07:34:28 PM,118.618,,,,,
478,18/12/20 07:35:27 PM,118.872,,,,,
479,18/12/20 07:37:30 PM,119.126,,,,,
480,18/12/20 07:41:04 PM,119.380,,,,,
481,18/12/20 07:47:47 PM,119.634,,,,,
482,18/12/20 10:06:58 PM,119.888,,,,,
483,18/12/20 10:10:06 PM,120.142,,,,,
484,18/12/20 10:13:15 PM,120.396,,,,,
485,18/12/20 10:18:26 PM,120.650,,,,,
486,18/12/20 10:43:06 PM,120.904,,,,,
487,18/12/20 10:52:30 PM,121.158,,,,,
488,18/12/28 03:15:46 AM,121.412,,,,,
489,18/12/28 04:47:26 AM,121.666,,,,,
490,18/12/28 05:27:38 AM,121.920,,,,,
491,18/12/28 05:53:13 AM,122.174,,,,,
492,18/12/28 06:34:29 AM,122.428,,,,,
493,18/12/28 11:39:55 PM,122.682,,,,,
494,18/12/28 11:59:40 PM,122.936,,,,,
495,18/12/29 12:01:22 AM,123.190,,,,,
